server,payload_size,rtt_min,rtt_max,rtt_avg,rtt_std
lon.speedtest.clouvider.net,1070,66.727,154.598,91.897,36.313
lon.speedtest.clouvider.net,1080,66.497,98.611,75.527,13.372
lon.speedtest.clouvider.net,1090,68.405,103.539,79.787,14.313
lon.speedtest.clouvider.net,1100,56.385,110.546,86.057,23.6
lon.speedtest.clouvider.net,1110,72.719,111.447,91.341,18.65
lon.speedtest.clouvider.net,1120,69.825,118.146,87.413,19.299
lon.speedtest.clouvider.net,1130,72.296,130.183,102.503,22.922
lon.speedtest.clouvider.net,1140,80.567,119.79,90.945,16.659
lon.speedtest.clouvider.net,1150,69.347,107.491,85.264,15.51
lon.speedtest.clouvider.net,1160,69.739,108.491,82.878,15.301
lon.speedtest.clouvider.net,1170,55.75,108.372,73.009,21.063
lon.speedtest.clouvider.net,1180,68.554,106.833,80.671,15.301
lon.speedtest.clouvider.net,1190,71.698,110.892,91.176,18.293
lon.speedtest.clouvider.net,1200,69.293,110.835,81.84,16.866
lon.speedtest.clouvider.net,1210,55.499,101.942,68.586,19.295
