server,payload_size,rtt_min,rtt_max,rtt_avg,rtt_std
nyc.speedtest.clouvider.net,1120,96.206,96.825,96.374,0.261
nyc.speedtest.clouvider.net,1130,96.218,96.275,96.252,0.021
nyc.speedtest.clouvider.net,1140,96.18,96.389,96.268,0.075
nyc.speedtest.clouvider.net,1150,96.168,96.43,96.336,0.1
nyc.speedtest.clouvider.net,1160,96.212,96.441,96.327,0.088
nyc.speedtest.clouvider.net,1170,96.165,96.475,96.261,0.126
nyc.speedtest.clouvider.net,1180,96.18,96.325,96.235,0.055
nyc.speedtest.clouvider.net,1190,96.102,96.312,96.207,0.074
nyc.speedtest.clouvider.net,1200,96.121,96.307,96.215,0.068
nyc.speedtest.clouvider.net,1210,96.133,96.511,96.264,0.145
nyc.speedtest.clouvider.net,1220,96.181,96.505,96.337,0.14
nyc.speedtest.clouvider.net,1230,96.197,112.865,100.384,7.205
nyc.speedtest.clouvider.net,1240,96.208,113.716,104.689,8.48
nyc.speedtest.clouvider.net,1250,96.171,96.214,96.192,0.015
nyc.speedtest.clouvider.net,1260,96.12,96.241,96.183,0.047
nyc.speedtest.clouvider.net,1270,96.161,96.228,96.191,0.024
nyc.speedtest.clouvider.net,1280,96.184,96.245,96.217,0.023
nyc.speedtest.clouvider.net,1290,96.113,96.479,96.226,0.148
nyc.speedtest.clouvider.net,1300,96.15,96.383,96.245,0.089
nyc.speedtest.clouvider.net,1310,96.14,96.23,96.196,0.034
nyc.speedtest.clouvider.net,1320,96.092,96.549,96.271,0.17
nyc.speedtest.clouvider.net,1330,96.174,96.546,96.3,0.144
nyc.speedtest.clouvider.net,1340,96.182,96.492,96.288,0.125
nyc.speedtest.clouvider.net,1350,96.175,96.608,96.351,0.165
nyc.speedtest.clouvider.net,1360,96.192,96.389,96.247,0.081
nyc.speedtest.clouvider.net,1370,96.196,97.56,96.676,0.527
nyc.speedtest.clouvider.net,1380,96.185,96.242,96.207,0.021
nyc.speedtest.clouvider.net,1390,95.09,96.303,95.664,0.559
nyc.speedtest.clouvider.net,1400,95.002,95.117,95.077,0.044
nyc.speedtest.clouvider.net,1410,95.034,95.651,95.202,0.259
nyc.speedtest.clouvider.net,1420,95.013,95.12,95.064,0.038
nyc.speedtest.clouvider.net,1430,95.026,95.328,95.154,0.11
nyc.speedtest.clouvider.net,1440,94.989,95.205,95.08,0.079
nyc.speedtest.clouvider.net,1450,95.039,95.185,95.136,0.057
nyc.speedtest.clouvider.net,1460,97.848,97.97,97.925,0.046
nyc.speedtest.clouvider.net,1470,97.853,98.298,98.039,0.176
lon.speedtest.clouvider.net,20,1.528,1.671,1.609,0.052
lon.speedtest.clouvider.net,30,1.555,1.647,1.607,0.033
lon.speedtest.clouvider.net,40,1.486,1.81,1.643,0.115
lon.speedtest.clouvider.net,50,1.603,1.864,1.688,0.105
lon.speedtest.clouvider.net,60,1.525,1.775,1.634,0.092
lon.speedtest.clouvider.net,70,1.585,1.873,1.675,0.115
lon.speedtest.clouvider.net,80,1.626,1.826,1.733,0.084
lon.speedtest.clouvider.net,90,1.601,1.83,1.686,0.091
lon.speedtest.clouvider.net,100,1.521,1.739,1.638,0.085
lon.speedtest.clouvider.net,110,1.611,1.786,1.681,0.066
lon.speedtest.clouvider.net,120,1.607,1.887,1.694,0.113
lon.speedtest.clouvider.net,130,1.577,1.702,1.649,0.046
lon.speedtest.clouvider.net,140,1.554,1.963,1.719,0.15
lon.speedtest.clouvider.net,150,1.582,1.671,1.618,0.032
lon.speedtest.clouvider.net,160,1.526,1.992,1.747,0.172
lon.speedtest.clouvider.net,170,1.532,1.642,1.595,0.04
lon.speedtest.clouvider.net,180,1.572,1.619,1.596,0.017
lon.speedtest.clouvider.net,190,1.526,1.808,1.634,0.104
lon.speedtest.clouvider.net,200,1.504,1.656,1.585,0.054
lon.speedtest.clouvider.net,210,1.519,2.006,1.71,0.179
lon.speedtest.clouvider.net,220,1.571,1.761,1.646,0.07
lon.speedtest.clouvider.net,230,1.555,1.654,1.604,0.036
lon.speedtest.clouvider.net,240,1.507,1.662,1.594,0.056
lon.speedtest.clouvider.net,250,1.541,1.629,1.599,0.034
lon.speedtest.clouvider.net,260,1.521,1.655,1.605,0.053
lon.speedtest.clouvider.net,270,1.553,1.661,1.615,0.04
lon.speedtest.clouvider.net,280,1.511,1.747,1.65,0.088
lon.speedtest.clouvider.net,290,1.57,1.713,1.631,0.051
lon.speedtest.clouvider.net,300,1.608,1.732,1.664,0.046
lon.speedtest.clouvider.net,310,1.535,1.65,1.597,0.042
lon.speedtest.clouvider.net,320,1.533,1.697,1.621,0.059
lon.speedtest.clouvider.net,330,1.574,1.644,1.623,0.028
lon.speedtest.clouvider.net,340,1.537,1.696,1.618,0.058
lon.speedtest.clouvider.net,350,1.56,1.629,1.606,0.027
lon.speedtest.clouvider.net,360,1.554,1.65,1.602,0.034
lon.speedtest.clouvider.net,370,1.524,1.653,1.598,0.047
lon.speedtest.clouvider.net,380,1.507,1.664,1.597,0.066
lon.speedtest.clouvider.net,390,1.548,1.744,1.658,0.07
lon.speedtest.clouvider.net,400,1.528,1.651,1.606,0.05
lon.speedtest.clouvider.net,410,1.454,1.786,1.603,0.119
lon.speedtest.clouvider.net,420,1.572,1.896,1.723,0.131
lon.speedtest.clouvider.net,430,1.553,1.749,1.654,0.08
lon.speedtest.clouvider.net,440,1.654,1.958,1.75,0.122
lon.speedtest.clouvider.net,450,1.551,1.94,1.758,0.143
lon.speedtest.clouvider.net,460,1.566,1.752,1.64,0.068
lon.speedtest.clouvider.net,470,1.623,1.869,1.706,0.1
lon.speedtest.clouvider.net,480,1.571,1.632,1.598,0.026
lon.speedtest.clouvider.net,490,1.529,1.814,1.675,0.101
lon.speedtest.clouvider.net,500,1.638,1.798,1.687,0.065
lon.speedtest.clouvider.net,510,1.584,1.624,1.602,0.014
lon.speedtest.clouvider.net,520,1.565,1.699,1.625,0.049
lon.speedtest.clouvider.net,530,1.539,1.589,1.574,0.02
lon.speedtest.clouvider.net,540,1.545,1.685,1.624,0.052
lon.speedtest.clouvider.net,550,1.535,1.975,1.748,0.188
lon.speedtest.clouvider.net,560,1.647,1.94,1.77,0.127
lon.speedtest.clouvider.net,570,1.544,1.651,1.614,0.042
lon.speedtest.clouvider.net,580,1.551,1.96,1.684,0.161
lon.speedtest.clouvider.net,590,1.501,1.973,1.682,0.175
lon.speedtest.clouvider.net,600,1.565,1.7,1.634,0.048
lon.speedtest.clouvider.net,610,1.554,1.651,1.616,0.037
lon.speedtest.clouvider.net,620,1.558,1.632,1.591,0.029
lon.speedtest.clouvider.net,630,1.547,1.633,1.59,0.03
lon.speedtest.clouvider.net,640,1.525,1.848,1.666,0.116
lon.speedtest.clouvider.net,650,1.549,1.763,1.648,0.076
lon.speedtest.clouvider.net,660,1.564,1.688,1.624,0.044
lon.speedtest.clouvider.net,670,1.617,1.777,1.692,0.073
lon.speedtest.clouvider.net,680,1.595,1.869,1.722,0.102
lon.speedtest.clouvider.net,690,1.559,1.69,1.613,0.047
lon.speedtest.clouvider.net,700,1.548,1.702,1.641,0.058
